,label,feature,score
66,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.JP_US', 'L1.US_JP_LIBOR']",0.0116815783926
67,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.Oil_Price', 'L1.US_EU_LIBOR']",0.0116713249623
68,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.Oil_Price', 'L1.US_UK_LIBOR']",0.0117515238793
69,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.Oil_Price', 'L1.US_JP_LIBOR']",0.0116598671802
70,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR']",0.0116652852923
71,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.US_EU_LIBOR', 'L1.US_JP_LIBOR']",0.011536011253
72,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0116404438089
73,US_EU,"['L1.US_EU', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_EU_LIBOR']",0.0115537392836
74,US_EU,"['L1.US_EU', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_UK_LIBOR']",0.0116414161149
75,US_EU,"['L1.US_EU', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_JP_LIBOR']",0.0115144461366
76,US_EU,"['L1.US_EU', 'L1.JP_US', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR']",0.0115766107288
77,US_EU,"['L1.US_EU', 'L1.JP_US', 'L1.US_EU_LIBOR', 'L1.US_JP_LIBOR']",0.0115228113148
78,US_EU,"['L1.US_EU', 'L1.JP_US', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0115377965619
79,US_EU,"['L1.US_EU', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR']",0.0115760452299
80,US_EU,"['L1.US_EU', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_JP_LIBOR']",0.0115116187181
81,US_EU,"['L1.US_EU', 'L1.Oil_Price', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0115185969122
82,US_EU,"['L1.US_EU', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0115837497537
83,US_EU,"['L1.US_UK', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_EU_LIBOR']",0.0120870961739
84,US_EU,"['L1.US_UK', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_UK_LIBOR']",0.0122869048234
85,US_EU,"['L1.US_UK', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_JP_LIBOR']",0.0120856093635
86,US_EU,"['L1.US_UK', 'L1.JP_US', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR']",0.0121786180917
87,US_EU,"['L1.US_UK', 'L1.JP_US', 'L1.US_EU_LIBOR', 'L1.US_JP_LIBOR']",0.0120800322811
88,US_EU,"['L1.US_UK', 'L1.JP_US', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0121648773536
89,US_EU,"['L1.US_UK', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR']",0.0122700555407
90,US_EU,"['L1.US_UK', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_JP_LIBOR']",0.0121084124433
91,US_EU,"['L1.US_UK', 'L1.Oil_Price', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0122378940095
92,US_EU,"['L1.US_UK', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0122141151862
93,US_EU,"['L1.JP_US', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR']",0.0124212598722
94,US_EU,"['L1.JP_US', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_JP_LIBOR']",0.0122619492935
95,US_EU,"['L1.JP_US', 'L1.Oil_Price', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0123387590437
96,US_EU,"['L1.JP_US', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0125687157828
97,US_EU,"['L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.012586744842
98,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_EU_LIBOR']",0.0117408677001
99,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_UK_LIBOR']",0.0119432331353
100,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_JP_LIBOR']",0.0117613917517
101,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.JP_US', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR']",0.0118915904151
102,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.JP_US', 'L1.US_EU_LIBOR', 'L1.US_JP_LIBOR']",0.0117520458741
103,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.JP_US', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0118043778136
104,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR']",0.0120177461672
105,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_JP_LIBOR']",0.0118670640487
106,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.Oil_Price', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0118902337949
107,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0118976811542
108,US_EU,"['L1.US_EU', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR']",0.0118747801026
109,US_EU,"['L1.US_EU', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_JP_LIBOR']",0.0117284026783
110,US_EU,"['L1.US_EU', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0118108488954
111,US_EU,"['L1.US_EU', 'L1.JP_US', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0118963035556
112,US_EU,"['L1.US_EU', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0118776554813
113,US_EU,"['L1.US_UK', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR']",0.0121293893557
114,US_EU,"['L1.US_UK', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_JP_LIBOR']",0.0120247537332
115,US_EU,"['L1.US_UK', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0123399917672
116,US_EU,"['L1.US_UK', 'L1.JP_US', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0122361932449
117,US_EU,"['L1.US_UK', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.012307755445
118,US_EU,"['L1.JP_US', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0122879819802
119,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR']",0.0118236043474
120,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_JP_LIBOR']",0.0117948948332
121,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0118970299592
122,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.JP_US', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0119089903698
123,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0119584777415
124,US_EU,"['L1.US_EU', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0119785404944
125,US_EU,"['L1.US_UK', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0123204254183
126,US_EU,"['L1.US_EU', 'L1.US_UK', 'L1.JP_US', 'L1.Oil_Price', 'L1.US_EU_LIBOR', 'L1.US_UK_LIBOR', 'L1.US_JP_LIBOR']",0.0117918632466
127,US_UK,['L1.US_EU'],0.0160904523964
128,US_UK,['L1.US_UK'],0.0144595112516
